date,animal,supplement,weight
20230217,m20,water,33.1
20230217,m21,water,32.4
20230217,m22,water,28.6
20230217,m23,water,34.3
20230217,m24,water,31.6
20230217,m25,water,30.7
20230217,m26,water,33.3
20230217,m27,water,33.4
20230217,m29,water,31.2
20230217,m30,water,30.1
20230217,m32,water,30
20230217,m33,water,31.3
20230220,m20,water+1%CA,31.5
20230220,m21,water+1%CA,29.8
20230220,m22,water+1%CA,26.9
20230220,m23,water+1%CA,34.1
20230220,m24,water+1%CA,31.2
20230220,m25,water+1%CA,30.5
20230221,m26,water+1%CA,32.5
20230221,m27,water+1%CA,32.7
20230221,m29,water+1%CA,29.4
20230221,m30,water+1%CA,27.9
20230221,m32,water+1%CA,30.5
20230221,m33,water+1%CA,27.6
20230222,m20,1%CA,30.8
20230222,m21,1%CA,29.8
20230222,m22,1%CA,27
20230222,m23,1%CA,32.4
20230222,m24,1%CA,29.7
20230222,m25,1%CA,29.2
20230223,m26,1%CA,31.0
20230223,m27,1%CA,30.8
20230223,m29,1%CA,29.5
20230223,m30,1%CA,28.0
20230223,m32,1%CA,27.4
20230223,m33,1%CA,27.9
20230224,m20,1%CA,31.5
20230224,m21,1%CA,30.3
20230224,m22,1%CA,27.7
20230224,m23,1%CA,31.8
20230224,m24,1%CA,29.2
20230224,m25,1%CA,28.7
20230227,m26,1%CA,30.6
20230227,m27,1%CA,31.2
20230227,m29,1%CA,29.8
20230227,m30,1%CA,28.3
20230227,m33,1%CA,28.9
20230228,m20,2%CA,31
20230228,m21,2%CA,28.9
20230228,m22,2%CA,27.6
20230228,m23,2%CA,31.9
20230228,m24,2%CA,29
20230228,m25,2%CA,28.2
20230301,m26,2%CA,29.5
20230301,m27,2%CA,29.4
20230301,m29,2%CA,29.4
20230301,m30,2%CA,27.1
20230301,m33,2%CA,29.1
20230302,m20,2%CA,30.9
20230302,m21,2%CA,29.3
20230302,m22,2%CA,27.1
20230302,m23,2%CA,33.1
20230302,m24,2%CA,28.9
20230302,m25,2%CA,28.2
20230303,m26,2%CA,30.2
20230303,m27,2%CA,30.3
20230303,m29,2%CA,30
20230303,m30,2%CA,26.9
20230303,m33,2%CA,28.7
20230304,m20,5min_water,31.0
20230304,m21,5min_water,29.4
20230304,m22,5min_water,26.9
20230304,m23,5min_water,33.0
20230304,m24,5min_water,29.2
20230304,m25,5min_water,29.2
20230304,m26,5min_water,31.5
20230304,m27,5min_water,30.1
20230304,m29,5min_water,30.1
20230304,m30,5min_water,27.1
20230304,m33,5min_water,28.9
20230305,m20,5min_water,28.3
20230305,m21,5min_water,27.2
20230305,m22,5min_water,25.3
20230305,m23,5min_water,30.0
20230305,m24,5min_water,26.8
20230305,m25,5min_water,27.0
20230305,m26,5min_water,27.3
20230305,m27,5min_water,27.4
20230305,m29,5min_water,28.7
20230305,m30,5min_water,26.1
20230305,m33,5min_water,27.9
20230306,m20,5min_water,26.9
20230306,m21,5min_water,27
20230306,m22,5min_water,24.9
20230306,m23,5min_water,28.8
20230306,m24,5min_water,26.1
20230306,m25,5min_water,26.5
20230306,m26,5min_water,25.8
20230306,m27,5min_water,25.6
20230306,m29,5min_water,27.3
20230306,m30,5min_water,25.4
20230306,m33,5min_water,27
20230307,m20,2%CA,29.1
20230307,m21,2%CA,28.9
20230307,m22,2%CA,26.3
20230307,m23,2%CA,32.3
20230307,m24,2%CA,28.4
20230307,m25,2%CA,28.2
20230307,m26,2%CA,28.8
20230307,m27,2%CA,28.3
20230307,m29,2%CA,29.4
20230307,m30,2%CA,27.1
20230307,m33,2%CA,27.4
20230308,m20,2%CA,29.8
20230308,m21,2%CA,29.9
20230308,m22,2%CA,27.6
20230308,m23,2%CA,32.4
20230308,m24,2%CA,29.1
20230308,m25,2%CA,28.8
20230308,m26,2%CA,31.4
20230308,m27,2%CA,30.2
20230308,m29,2%CA,30.5
20230308,m30,2%CA,28.1
20230308,m33,2%CA,27.6
20230309,m20,4%CA,28.9
20230309,m21,4%CA,28.1
20230309,m22,4%CA,26.8
20230309,m23,4%CA,30.4
20230309,m24,4%CA,27.8
20230309,m25,4%CA,27.9
20230309,m26,4%CA,28.5
20230309,m27,4%CA,28.4
20230309,m29,4%CA,28.9
20230309,m30,4%CA,27.1
20230309,m33,4%CA,27.0
20230310,m20,4%CA,29.1
20230310,m21,4%CA,28.2
20230310,m22,4%CA,26.9
20230310,m23,4%CA,30.6
20230310,m24,4%CA,28.2
20230310,m25,4%CA,27.8
20230310,m26,4%CA,29.0
20230310,m27,4%CA,28.4
20230310,m29,4%CA,29.0
20230310,m30,4%CA,26.8
20230310,m33,4%CA,27.0
20230312,m20,4%CA,28.9
20230312,m21,4%CA,27.5
20230312,m22,4%CA,26.8
20230312,m23,4%CA,31.4
20230312,m24,4%CA,28.4
20230312,m25,4%CA,27.6
20230312,m26,4%CA,29.7
20230312,m27,4%CA,29.4
20230312,m29,4%CA,29.5
20230312,m30,4%CA,26.2
20230312,m33,4%CA,27.1
20230313,m20,4%CA,28.3
20230313,m21,4%CA,26.9
20230313,m22,4%CA,26.5
20230313,m23,4%CA,31.1
20230313,m24,4%CA,28
20230313,m25,4%CA,27.7
20230313,m26,4%CA,30.2
20230313,m27,4%CA,30.2
20230313,m29,4%CA,29.8
20230313,m30,4%CA,26
20230313,m33,4%CA,27.1
20230314,m20,restrained_4%CA,27.2
20230314,m21,restrained_4%CA,26
20230314,m22,restrained_4%CA,25.3
20230314,m23,restrained_4%CA,29.8
20230314,m24,restrained_4%CA,26.9
20230314,m25,restrained_4%CA,26.5
20230314,m26,restrained_4%CA,30.2
20230314,m27,restrained_4%CA,30.2
20230314,m29,restrained_4%CA,29.7
20230314,m30,restrained_4%CA,26.4
20230314,m33,restrained_4%CA,27.1
