date,time,type,animal,name,data,comment
20220721,11:30,prelim_recording,m07,prelim0,m07/2022_07_21/11_25_20,
20220721,13:00,prelim_recording,m08,prelim0,m08/2022_07_21/11_38_13,
20220721,13:00,prelim_recording,m09,prelim0,m09/2022_07_21/11_47_38,
20220721,13:00,prelim_recording,m10,prelim0,m10/2022_07_21/11_58_04,
20220721,13:00,prelim_recording,m11,prelim0,m11/2022_07_21/12_06_43,
20220721,13:00,prelim_recording,m12,prelim0,m12/2022_07_21/12_15_43,
20220721,13:00,prelim_recording,m13,prelim0,m13/2022_07_21/12_24_53,
20220721,13:00,prelim_recording,m14,prelim0,m14/2022_07_21/12_34_16,
20220721,13:00,prelim_recording,m15,prelim0,m15/2022_07_21/12_43_41,
20220721,13:00,prelim_recording,m16,prelim0,m16/2022_07_21/12_55_07,
20220722,11:47,habituation,m09,hab0,reward: 9,
20220722,12:03,habituation,m10,hab0,reward: 3,
20220722,12:19,habituation,m11,hab0,reward: 7,
20220722,12:33,habituation,m12,hab0,reward: 6,
20220722,12:48,habituation,m15,hab0,reward: 5,
20220722,13:04,habituation,m16,hab0,reward: 5,
20220723,11:51,habituation,m09,hab1,reward: 0,
20220723,12:14,habituation,m10,hab1,reward: 1,
20220723,12:30,habituation,m11,hab1,reward: 3,
20220723,12:45,habituation,m12,hab1,reward: 3,
20220723,13:04,habituation,m15,hab1,reward: 1,
20220723,13:20,habituation,m16,hab1,reward: 2,
