date,animal,supplement,weight
20220722,m09,inf,32.3
20220722,m10,inf,33.3
20220722,m11,inf,27.2
20220722,m12,inf,28.8
20220722,m15,inf,28.1
20220722,m16,inf,28.6
20220723,m09,inf,31.7
20220723,m10,inf,32.8
20220723,m11,inf,27.2
20220723,m12,inf,28.5
20220723,m15,inf,28.3
20220723,m16,inf,29.2
20220724,m09,CA,29.4
20220724,m10,CA,30.4
20220724,m11,CA,25.4
20220724,m12,CA,26.2
20220724,m15,CA,26.0
20220724,m16,CA,27.1
20220725,m09,CA,29.2
20220725,m10,CA,30.6
20220725,m11,CA,25.2
20220725,m12,CA,25.8
20220725,m15,CA,25.2
20220725,m16,CA,26.8
20220726,m09,CA,29.1
20220726,m10,CA,30.1
20220726,m11,CA,24.6
20220726,m12,CA,25.3
20220726,m15,CA,25.0
20220726,m16,CA,26.7
20220727,m09,CA,28.2
20220727,m10,CA,29.3
20220727,m11,CA,24.6
20220727,m12,CA,24.8
20220727,m15,CA,24.7
20220727,m16,CA,26.4
20220728,m09,CA,27.8
20220728,m10,CA,29.5
20220728,m11,CA,24.6
20220728,m12,CA,25.1
20220728,m15,CA,24.6
20220728,m16,CA,25.9
20220729,m09,CA,28.3
20220729,m10,CA,30.0
20220729,m11,CA,24.2
20220729,m12,CA,25.1
20220729,m15,CA,24.2
20220729,m16,CA,25.3
