date,time,type,animal,name,analyze,data,comment
20221012,15:29,habituation,m09,hab0,False,m09/2022_10_12/15_29_11,15 min session
20221012,15:46,habituation,m10,hab0,False,m10/2022_10_12/15_46_18,15 min session
20221012,16:04,habituation,m11,hab0,False,m11/2022_10_12/16_04_37,15 min session
20221012,16:24,habituation,m12,hab0,False,m12/2022_10_12/16_24_49,15 min session
20221012,16:47,habituation,m15,hab0,False,m15/2022_10_12/16_47_17,15 min session
20221012,17:04,habituation,m16,hab0,False,m16/2022_10_12/17_04_33,15 min session
20221013,11:53,habituation,m09,hab1,False,m09/2022_10_13/11_53_03,20 min session
20221013,12:18,habituation,m10,hab1,False,m10/2022_10_13/12_18_40,20 min session
20221013,12:41,habituation,m11,hab1,False,m11/2022_10_13/12_41_58,20 min session
20221013,13:05,habituation,m12,hab1,False,m12/2022_10_13/13_05_04,20 min session
20221013,13:27,habituation,m15,hab1,False,m15/2022_10_13/13_27_55,20 min session
20221013,13:55,habituation,m16,hab1,False,m16/2022_10_13/13_55_45,20 min session
20221014,12:10,habituation,m09,hab2,False,m09/2022_10_14/12_10_04,
20221014,12:32,habituation,m10,hab2,False,m10/2022_10_14/12_32_31,
20221014,12:54,habituation,m11,hab2,False,m11/2022_10_14/12_54_36,water port completely stopped working after 3 trials so mouse got tired and would stay in one corner
20221014,13:17,habituation,m12,hab2,False,m12/2022_10_14/13_17_38,
20221014,13:40,habituation,m15,hab2,False,m15/2022_10_14/13_40_08,"didn't seem motivated, got distracted a lot"
20221014,14:04,habituation,m16,hab2,False,m16/2022_10_14/14_04_14,
20221015,12:12,habituation,m09,hab3,False,m09/2022_10_15/12_12_25,
20221015,12:35,habituation,m10,hab3,False,m10/2022_10_15/12_35_11,
20221015,12:57,habituation,m11,hab3,False,m11/2022_10_15/12_57_14,
20221015,13:20,habituation,m12,hab3,False,m12/2022_10_15/13_20_15,
20221015,13:43,habituation,m15,hab3,False,m15/2022_10_15/13_43_47,would stay at right corner for a long time
20221015,14:06,habituation,m16,hab3,False,m16/2022_10_15/14_06_11,
20221016,15:18,habituation,m09,hab4,False,m09/2022_10_16/15_18_50,
20221016,15:41,habituation,m10,hab4,False,m10/2022_10_16/15_40_54,
20221016,16:01,habituation,m11,hab4,False,m11/2022_10_16/16_01_56,
20221016,16:23,habituation,m12,hab4,False,m12/2022_10_16/16_23_04,
20221016,16:44,habituation,m15,hab4,False,m15/2022_10_16/16_44_28,
20221016,17:05,habituation,m16,hab4,False,m16/2022_10_16/17_05_48,
20221017,12:47,habituation,m09,hab5,False,m09/2022_10_17/12_47_29,
20221017,13:10,habituation,m10,hab5,False,m10/2022_10_17/13_10_40,
20221017,13:33,habituation,m11,hab5,False,m11/2022_10_17/13_33_21,
20221017,13:56,habituation,m12,hab5,False,m12/2022_10_17/13_56_30,
20221017,14:19,habituation,m15,hab5,False,m15/2022_10_17/14_19_30,
20221017,14:43,habituation,m16,hab5,False,m16/2022_10_17/14_43_00,
20221018,12:43,habituation,m09,hab6,False,m09/2022_10_18/12_43_03,
20221018,13:05,habituation,m10,hab6,False,m10/2022_10_18/13_05_52,
