timestamp,event,data
1682952901.3626084,LOCATION,X326Y254
1682952901.3925285,LOCATION,X332Y256
1682952901.417462,LOCATION,X339Y256
1682952901.4433928,LOCATION,X345Y255
1682952901.4673295,LOCATION,X345Y255
1682952901.4932594,LOCATION,X351Y254
1682952901.5181937,LOCATION,X354Y253
1682952901.5441234,LOCATION,X354Y253
1682952901.5690577,LOCATION,X354Y253
1682952901.5949883,LOCATION,X358Y254
1682952901.620918,LOCATION,X369Y254
1682952901.6478474,LOCATION,X375Y255
1682952901.6747746,LOCATION,X375Y255
1682952901.7017028,LOCATION,X381Y255
1682952901.7286303,LOCATION,X387Y254
1682952901.7555592,LOCATION,X393Y253
1682952901.7804914,LOCATION,X398Y254
